configuration,area,executionCycles,energy,timing,cyc,stall,bun,syl,nop,iacc,imiss,dracc,drmiss,dwacc,dwmiss
11000000:2:4k:4k,5789.500000000001,2388444,7.48,True,1422873,205001,1050373,5314316,541893,1217883,409,265922,20090,49280,36936
1111:1111:1000:2:4k:4k,9877.400000000001,1609858,8.27,True,555637,112796,373823,1771891,64714,413696,313,39252,3650,18117,12103
11000000:4:16k:2k,6163.2,2531533,7.02,True,1508288,278810,1050438,6254553,1481965,1229500,558,265927,31852,49294,37077
1000:1000:2:4k:4k,7294.0,2149328,9.79,True,895053,150703,624605,2473506,182582,956736,175,166251,14138,16382,13905
11000000:4:4k:16k,8394.1,2355423,14.36,True,1403189,173717,1050447,6254592,1481980,1229511,1598,265928,12538,49296,36772
11000000:2:32k:4k,6428.2,2386635,8.76,True,1422026,204155,1050373,5314316,541893,1217883,333,265922,20090,49280,36936
1000:1000:1000:2:4k:4k,9591.000000000002,1702483,9.67,True,573967,111977,406794,1875512,177747,455978,319,39586,3661,18116,12053
11000000:4:8k:16k,8738.1,2336079,15.19,True,1389980,160519,1050429,6254515,1481951,1229489,604,265926,12538,49292,36771
1000:1000:4:4k:4k,7307.0,2401776,8.89,True,544977,93414,391221,2357061,635021,428927,618,85720,5707,18728,13985
1111:1111:4:8k:4k,7457.4,2200759,11.98,True,501408,87508,358262,2055682,324203,394916,287,85500,5728,18589,13969
1111:1111:1100:2:4k:4k,9514.800000000001,1609867,10.33,True,555642,112800,373823,1771891,64714,413696,313,39252,3650,18117,12103
1111:1111:2:8k:4k,7746.4,2280314,12.12,True,523483,85592,358211,1780029,48670,340565,177,89950,5743,18759,14029
11000000:2:8k:16k,9036.1,2310727,14.99,True,1375628,157766,1050364,5314286,541887,1217874,393,265921,12538,49278,36765
1000:1000:1100:2:4k:4k,9174.400000000001,1702521,9.65,True,573944,111953,406794,1875512,177747,455978,319,39586,3661,18116,12054
11000000:2:4k:16k,8327.599999999999,2310086,13.90,True,1375374,157512,1050364,5314286,541887,1217874,409,265921,12538,49278,36765
11000000:4:16k:4k,6250.2,2412042,7.25,True,1436482,207005,1050438,6254553,1481965,1229500,558,265927,20090,49294,36942
1111:1111:2:4k:4k,7462.9,2281525,11.49,True,523980,86085,358232,1780089,48679,340096,196,89957,5742,18753,14020
11000000:2:4k:2k,5753.000000000001,2508355,8.20,True,1494967,277095,1050373,5314316,541893,1217883,409,265922,31852,49280,37072
11000000:2:32k:8k,6665.8,2340021,10.13,True,1393372,175510,1050364,5314286,541887,1217874,333,265921,15597,49278,36802
1111:1111:4:4k:4k,7528.9,2213038,11.09,True,507323,93422,358268,2055703,324211,326882,621,85513,5711,18548,13920
11000000:2:2k:2k,5881.500000000001,2679425,7.32,True,1626708,408787,1050418,5314465,541925,1217933,10071,265928,31852,49289,37076
1000:1000:4:8k:4k,7097.0,2389763,7.90,True,539186,87621,391218,2357048,635016,368311,290,85702,5717,18761,14029
1000:1000:2:8k:4k,7624.5,2396485,10.65,True,546460,84996,391182,1883650,161704,359508,175,89638,5778,18437,14054
11000000:4:32k:16k,7956.3,2333022,14.21,True,1388448,158976,1050429,6254515,1481951,1229489,488,265926,12538,49292,36771
